"comp","post_bugs","size","complexity","prior_changes","change_churn","prior_bugs","total","minor","major","ownership","entropy","review_rate","review_churn_rate","voters","minor_voters","major_voters","voter_ownership","self_reviews","too_quick","little_discussion","median_revspeed","mean_revspeed","median_discussion","mean_discussion","minor_wrote_no_major_revd","minor_wrote_no_owner_revd","median_voterscore","mean_voterscore","actors","minor_actors","major_actors","actor_ownership","owner_more_author","median_maxexp","mean_maxexp","median_minexp","mean_minexp","subsystem"
"qtactiveqt.examples/activeqt/comapp",0,155,0.116129032828304,1,2,0,1,0,1,1,1,1,1,4,0,4,1,1,0,1,1446.2093495935,1446.2093495935,0.00609756097560976,0.00609756097560976,5,5,0,0,9,0,9,1,0,1,1,1,1,"qtactiveqt"
"qtactiveqt.examples/activeqt/dotnet/walkthrough",0,83,0.0963855432573668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"qtactiveqt"
"qtactiveqt.examples/activeqt/dotnet/wrapper",0,29,0.103448278953627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"qtactiveqt"
"qtactiveqt.examples/activeqt/dotnet/wrapper/lib",0,72,0.125000001215278,1,12,0,1,0,1,1,1,1,1,4,0,4,1,1,0,1,1446.2093495935,1446.2093495935,0.00609756097560976,0.00609756097560976,4,4,0,0,8,0,8,1,0,1,1,1,1,"qtactiveqt"
"qtactiveqt.examples/activeqt/hierarchy",0,86,0.104651163831801,1,6,0,1,0,1,1,1,1,1,4,0,4,1,1,0,1,1446.2093495935,1446.2093495935,0.00609756097560976,0.00609756097560976,4,4,0,0,8,0,8,1,0,1,1,1,1,"qtactiveqt"
"qtactiveqt.examples/activeqt/menus",0,136,0.10294117713019,1,6,0,1,0,1,1,1,1,1,4,0,4,1,1,0,1,1446.2093495935,1446.2093495935,0.00609756097560976,0.00609756097560976,4,4,0,0,8,0,8,1,0,1,1,1,1,"qtactiveqt"
"qtactiveqt.examples/activeqt/multiple",0,75,0.106666667857778,1,6,0,1,0,1,1,1,1,1,4,0,4,1,1,0,1,1446.2093495935,1446.2093495935,0.00609756097560976,0.00609756097560976,4,4,0,0,8,0,8,1,0,1,1,1,1,"qtactiveqt"
"qtactiveqt.examples/activeqt/opengl",0,199,0.0804020105123608,1,10,0,1,0,1,1,1,1,1,4,0,4,1,1,0,1,1446.2093495935,1446.2093495935,0.00609756097560976,0.00609756097560976,4,4,0,0,8,0,8,1,0,1,1,1,1,"qtactiveqt"
"qtactiveqt.examples/activeqt/qutlook",0,216,0.143518518915038,1,6,0,1,0,1,1,1,1,1,4,0,4,1,1,0,1,1446.2093495935,1446.2093495935,0.00609756097560976,0.00609756097560976,6,6,0,0,10,0,10,1,0,1,1,1,1,"qtactiveqt"
"qtactiveqt.examples/activeqt/simple",0,70,0.11428571555102,1,2,0,1,0,1,1,1,1,1,4,0,4,1,1,0,1,1446.2093495935,1446.2093495935,0.00609756097560976,0.00609756097560976,4,4,0,0,8,0,8,1,0,1,1,1,1,"qtactiveqt"
